"city","city_targeting_tag","cluster_name","cluster_targeting_tag"
Uluberia,CITY_ULUBERIA,Kolkata,CLUSTER_KOL
Uttarpara,CITY_UTTARPARA,Kolkata,CLUSTER_KOL
Vadapalani,CITY_VADAPALANI,Chennai,CLUSTER_CHE
Vadgaon,CITY_VADGAON,Pune,CLUSTER_PUN
Vandalur,CITY_VANDALUR,Chennai,CLUSTER_CHE
Vashi,CITY_VASHI,Mumbai,CLUSTER_MUM
Vikarabad,CITY_VIKARABAD,Hyderabad,CLUSTER_HYD
Vikhroli,CITY_VIKHROLI,Mumbai,CLUSTER_MUM
Villivakkam,CITY_VILLIVAKKAM,Chennai,CLUSTER_CHE
Virar,CITY_VIRAR,Mumbai,CLUSTER_MUM
Wadala,CITY_WADALA,Mumbai,CLUSTER_MUM
Whitefield,CITY_WHITEFIELD,Bangalore,CLUSTER_BEN
Worli,CITY_WORLI,Mumbai,CLUSTER_MUM
Yelahanka,CITY_YELAHANKA,Bangalore,CLUSTER_BEN
